Name,Price,Seller,Image
"Acer Nitro 5 AN515 57 5669 i5 11400H/8GB/512GB/4GB GTX1650/15.6""F/144Hz/Win11/(NH.QEHSV.001)/Đen - Hàng chính hãng",19670000,Ben Computer,https://salt.tikicdn.com/cache/280x280/ts/product/00/c3/7e/498923524f1bdd083405c6ea166750b8.png
Sạc cho laptop Dell Gaming Inspiron 15 7566 Adapter 19.5V-6.7A,504982,Đạt Khang Network,https://salt.tikicdn.com/cache/280x280/ts/product/78/f3/5f/76e8707217bc87b26d723d74d8be348c.jpg
Laptop HP Victus 15-fa0115TX 7C0X1PA (i5-12500H | 8GB | 512GB | GeForce RTX 3050 4GB | 15.6' FHD 144Hz | Win 11) Hàng chính hãng,20690000,Vi Tính Bảo An,https://salt.tikicdn.com/cache/280x280/ts/product/57/7e/85/d19e6237cf523b61950f70df9c2c4ddd.png
Laptop HP VICTUS 16-e1106AX 7C0T1PA (R5-6600H | 8GB | 512GB | GeForce RTX 3050Ti 4GB | 16.1' FHD 144Hz | Win 11) Hàng chính hãng,22090000,HP HCH STORE,https://salt.tikicdn.com/cache/280x280/ts/product/e1/b3/0f/dcbf07780d895299b0c5ba4081714e0c.jpg
Sạc dành cho Laptop Gaming MSI GF63 10SC 10SC-014VN/VGA GTX1650 20V 6A,690000,Laptop Minh Hà,https://salt.tikicdn.com/cache/280x280/ts/product/18/4a/8f/a3f44267c27ddac97db3bed6b38cd145.jpg
"Laptop HP VICTUS 16 d0204TX i5 11400H/8GB/32GB+512GB/4GB RTX3050/16.1""F/144Hz/Win11/(4R0U5PA)/Đen - Hàng chính hãng",27253000,Ben Computer,https://salt.tikicdn.com/cache/280x280/ts/product/ca/3d/c7/91941ee791534c77c26886ee8c6c58d6.jpg
Laptop Acer Nitro 5 Eagle AN515-57-5669 i5-11400H | 8GB |512GB |GTX 1650 |15.6' FHD 144Hz Hàng chính hãng,20490000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/61/4d/43/c3ee15df4c456ae3a031a3c51b600be5.jpg
Laptop Acer TravelMate P4 TMP414-51-50HX (i5-1135G7 8GB 512GB Intel Iris Xe Graphics 14' FHD Win 11) Hàng chính hãng,22490000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/62/a1/eb/d9ea6a1586fdee30ad735ff80ecfacfc.jpg
Laptop HP Victus 15-fa0111TX 7C0R4PA (i5-12500H | 16GB | 512GB | GeForce RTX 3050Ti 4GB | 15.6' FHD 144Hz | Win 11) Hàng chính hãng,24790000,HP HCH STORE,https://salt.tikicdn.com/cache/280x280/ts/product/b0/60/33/df747667e96aec6d181fb5e03b5ef851.jpg
Sạc cho laptop Dell Gaming Inspiron 15 7559 Adapter 19.5V-6.7A,485000,Big Store,https://salt.tikicdn.com/cache/280x280/ts/product/c8/b0/ad/85b4927c38fc769ec61dbcdc374dbeb8.jpg
Sạc dành cho Laptop Acer Gaming Nitro 5 Eagle AN515-57 RTX 3050Ti ,890000,Laptop Minh Hà,https://salt.tikicdn.com/cache/280x280/ts/product/4a/e1/2e/e4c462b280841a0ee5c954b6ec439cbe.jpg
"""Laptop Acer Nitro 5 Tiger AN515-58-769J (i7-12700H | 8GB | 512GB | GeForce RTX 3050 4GB | 15.6′ FHD 144Hz | Win 11) - Hàng Chính Hãng""",27990000,NGUYENVUSTORE,https://salt.tikicdn.com/cache/280x280/ts/product/dc/db/6f/3d702a86f4fc61bc45c81794d8c00321.png
Laptop HP Victus 15-fa0115TX (7C0X1PA) (i5-12500H | 8GB | 512GB | GeForce RTX 3050 4GB | 15.6' FHD 144Hz | Win 11) Hàng chính hãng,22590000,HP HCH STORE,https://salt.tikicdn.com/cache/280x280/ts/product/b3/05/b4/29b469155326a4a393646bef9c07529d.jpg
Laptop Gaming Acer Nitro 5 Tiger AN515-58-52SP  i5-12500H/RAM 8GB/512GB SSD/3050 4GB Hàng Chính Hãng,26999000,NGUYENVUSTORE,https://salt.tikicdn.com/cache/280x280/ts/product/c3/c4/38/d55fe475c107f9d9bc49672be3625bec.png
